tipo,subtipo,ubicacion,ciudad,hora,lat,lon
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Av. Departamental,Macul,2025-04-18T22:09:56,-33.508823,-70.603287
ROAD_CLOSED,ROAD_CLOSED_EVENT,Quilicura,Conchalí,2024-06-07T10:43:41,-33.381421,-70.682666
ROAD_CLOSED,ROAD_CLOSED_EVENT,Las Acacias,"Malloco, Peñaflor",2025-04-16T10:53:46,-33.618066,-70.875525
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.391009,-70.674989
POLICE,,Ciencias,La Cisterna,2025-04-18T22:14:43,-33.514407,-70.662681
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.614422,-70.876047
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Ruta 79,,2025-04-18T21:43:15,-33.601513,-70.605346
HAZARD,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Av. La Dehesa,Lo Barnechea,2025-04-18T21:58:08,-33.335938,-70.520484
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-18T00:00:00,-33.474695,-70.748857
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.471447,-70.748302
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:55,-33.391795,-70.674506
CHIT_CHAT,,Av. Américo Vespucio,Macul,2025-04-18T22:11:30,-33.50611,-70.589808
POLICE,,Av. Santa Rosa,San Ramón,2025-04-18T22:21:28,-33.547317,-70.633416
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.392276,-70.674236
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Av. Grecia,Ñuñoa,2025-04-18T22:15:59,-33.464556,-70.595769
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:54,-33.390051,-70.675776
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Av. Armando Cortínez,Pudahuel,2025-04-18T22:05:10,-33.424905,-70.783728
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Fermín Vivaceta,Conchalí,2024-06-06T09:21:44,-33.384766,-70.680232
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.618167,-70.877062
HAZARD,HAZARD_ON_ROAD_POT_HOLE,Av. Gladys Marín Millie,Estación Central,2025-04-18T22:09:34,-33.463205,-70.722688
ROAD_CLOSED,ROAD_CLOSED_EVENT,Salida > El Rosal,,2025-01-02T09:48:03,-33.492763,-70.763336
HAZARD,HAZARD_ON_ROAD,Av. Isabel Riquelme,Pedro Aguirre Cerda,2025-04-18T21:13:00,-33.476439,-70.66088
CHIT_CHAT,,Av. Departamental,San Miguel,2025-04-18T22:12:46,-33.506368,-70.642538
ROAD_CLOSED,ROAD_CLOSED_EVENT,Aves del Paraíso,Maipú,2025-04-18T00:05:16,-33.471714,-70.748344
ROAD_CLOSED,ROAD_CLOSED_EVENT,Depósito Express Pudahuel,Pudahuel,2025-02-26T16:12:39,-33.442052,-70.790182
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.432637,-70.727491
HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Autopista Central,,2025-04-18T22:24:39,-33.446171,-70.660617
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.472527,-70.748497
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.433401,-70.723618
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-17T23:59:40,-33.474734,-70.748337
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.473797,-70.748721
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,Conchalí,2024-06-06T09:26:55,-33.394031,-70.673132
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-17T23:59:40,-33.474695,-70.748857
ROAD_CLOSED,ROAD_CLOSED_EVENT,Exequiel Figueroa,Ñuñoa,2024-10-14T18:51:40,-33.461725,-70.573615
ROAD_CLOSED,ROAD_CLOSED_EVENT,Longitudinal,Maipú,2025-04-03T11:35:02,-33.470274,-70.748114
ROAD_CLOSED,ROAD_CLOSED_EVENT,Puerto Madero,Pudahuel,2025-04-17T11:39:44,-33.44786,-70.777215
JAM,,Camino Punta de Águilas Norte 9170,Lo Barnechea,2025-04-18T22:04:29,-33.335037,-70.564042
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,,2024-06-26T17:08:54,-33.383031,-70.68181
CHIT_CHAT,,Av. San Pablo,Quinta Normal,2025-04-18T22:24:22,-33.43741,-70.68828
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.43366,-70.722512
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Mackenna,Renca,2025-01-06T09:05:32,-33.406206,-70.745639
ROAD_CLOSED,ROAD_CLOSED_EVENT,Los Aromos,"Malloco, Peñaflor",2025-04-15T13:44:42,-33.615202,-70.876263
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Hugo Bravo,Maipú,2025-04-18T00:01:53,-33.474809,-70.747296
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.445074,-70.654709
POLICE,,,Conchalí,2025-04-18T22:11:40,-33.396175,-70.677862
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.445985,-70.66094
ROAD_CLOSED,ROAD_CLOSED_EVENT,Av. Independencia,,2024-06-26T17:08:54,-33.382259,-70.682391
HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Av. Libertador Bernardo O'Higgins,Santiago,2025-02-17T09:00:00,-33.447516,-70.666892
ROAD_CLOSED,ROAD_CLOSED_EVENT,Vicuña Rozas,Cerro Navia,2025-01-20T01:44:57,-33.433054,-70.725365
